date,id,description,account_handle,account_name,account_id,account_subscribers,statistics_actual_favoriteCount,statistics_actual_retweetCount,hashtags,media
2023-03-23 19:55:52+00:00,1638992980311769088,"Eu acredito que exista um marketing ""negativo"" na Internet. Hoje em dia as coisas viram polêmica muito rápido, é tudo muito questionável. A base da Virgínia por exemplo, todo mundo sabe do assunto, sendo ruim ou não, mas movimentou as redes.",Juliana82353475,JUmenta,1062496698784796672,51,0,0,,
2023-03-23 19:53:42+00:00,1638992435257790474,"@siteptbr Eu compraria, deixa a mulher. O marido dela é político, ela não. Deixa ela vender as coisinhas, deve ser de melhor qualidade que a base da virginia",ajapaparaguaia,Celi 🥬🦁⚓,1596550042013270016,0,0,0,,
2023-03-23 19:48:18+00:00,1638991078245138438,A surra na Key,Brookexxsaku,Fui de base da Virginia,48475784,981,2,0,,
2023-03-23 19:48:05+00:00,1638991021886562305,@siteptbr @CoxtaCrf mais barato que a base da Virgínia kkkkkkkkkkkkkk esse povo é o cão,asarxhh,haras,1408556658251468808,17,0,0,,
2023-03-23 19:46:29+00:00,1638990621858750464,A falsa ilusão de que se o cidadão é politizado irá mudar algo através desse circo capitalista democrático é o que impede o brasileiro de acordar 🥰 com o lula eleito a nossa vida continua uma merda até que todos entendam que eu vou comer o cu de quem tá lendo,lumity666,base da virginia,1421705160565403648,521,1,0,,
2023-03-23 19:43:35+00:00,1638989892234493953,@luksoxglia cade a base da virginia,cacatunes,Cacatunes,880350901,328,0,0,,
2023-03-23 19:41:40+00:00,1638989408341721088,"@siteptbr Prefiro a base da Virgínia, pelo menos estarei blindada de concreto. https://t.co/gjxQizRrm5",IttsJos,Jo Butera,1613207819775262720,6,1,0,,"[Photo(previewUrl='https://pbs.twimg.com/media/Fr7cLinWwAEoeUv?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fr7cLinWwAEoeUv?format=jpg&name=orig', altText=None)]"
2023-03-23 19:38:33+00:00,1638988624120238087,eu tô TÃO feia que se eu usasse a base da virgínia era capaz de melhorar minha situação,gg_jones_,gg 🪫,1034600167150956544,459,0,0,,
2023-03-23 19:36:13+00:00,1638988036502622208,Só essa semana meu time entregou 3 dashboards para 3 clientes diferentes e + de 10 relatórios de análise 😎🤝🏻 meus analistas são fodas!!! Reconheci e os elogiei hoje https://t.co/DimBu3Pcwe,ednankf,base da virginia,1251741197183389696,217,4,0,,"[Photo(previewUrl='https://pbs.twimg.com/media/Fr7a7lEX0AMODWD?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fr7a7lEX0AMODWD?format=jpg&name=orig', altText=None)]"
2023-03-23 19:35:58+00:00,1638987972241506304,"Eu não sou a base da Virgínia, mas eu me derreto por você 🫵🏻",oxemaneu,manel,1622774034105507841,45,0,0,,
